<<<<<<< HEAD
Participant F026:
F026の個人的体験を以下に抽出しました：

1. 結婚して2か月ほど経った。

2. 11歳から春日井市に住んでいる。

3. 10月末から11月末まで1か月間東京で研修を受ける予定。

4. 現在は郵便局で働いている。

5. 職場では毎朝ラジオ体操をしており、約200人の子どもたちが参加する。

6. 仕事は大体8時か9時くらいまで。

7. 夫の方が早く帰宅するので、夫が夕食を作ってくれる。

8. 掃除は主に夫がやっているが、お風呂や台所の掃除は2週間に1回くらいF026がする。

9. 結婚式の時、職場の上司からベタ褒めされた。

10. 将来的に仕事を辞めて、英語を使う仕事を探すかもしれないと考えている。

11. 子どもが生まれたら3歳くらいまでは仕事をせず家にいたいと思っている。

12. 結婚後も旧姓に慣れず、書類に記入する際に間違えてしまうことがある。
=======
Participant F026:
F026の個人的体験を以下に抽出しました：

1. 結婚して2か月ほど経った。

2. 11歳から春日井市に住んでいる。

3. 10月末から11月末まで1か月間東京で研修を受ける予定。

4. 現在は郵便局で働いている。

5. 職場では毎朝ラジオ体操をしており、約200人の子どもたちが参加する。

6. 仕事は大体8時か9時くらいまで。

7. 夫の方が早く帰宅するので、夫が夕食を作ってくれる。

8. 掃除は主に夫がやっているが、お風呂や台所の掃除は2週間に1回くらいF026がする。

9. 結婚式の時、職場の上司からベタ褒めされた。

10. 将来的に仕事を辞めて、英語を使う仕事を探すかもしれないと考えている。

11. 子どもが生まれたら3歳くらいまでは仕事をせず家にいたいと思っている。

12. 結婚後も旧姓に慣れず、書類に記入する際に間違えてしまうことがある。
>>>>>>> gesture
