<<<<<<< HEAD
Participant F028:
F028の個人的体験を以下に抽出しました:

1. スウェーデンに1年間留学した経験がある。

2. スウェーデン語を集中的に勉強し、1年で話せるようになった。

3. スウェーデンから帰国後、日本語を話すのが難しくなった。

4. アメリカにも留学経験がある。

5. アメリカでは日本語のTAとして働いていた。

6. スウェーデン留学中はホームステイをした。

7. 留学前は人見知りだったが、留学後はよく話すようになった。

8. アメリカのミネソタ州で子供向けの日本語キャンプのカウンセラーとして働いた経験がある。

9. キャンプでは7歳から高校生までの子供たちを指導した。

10. キャンプでは英語の使用を控え、なるべく日本語で話すようにしていた。

11. アメリカの大学で世話になった先生の子供たちにピアノを教えた経験がある。

12. 日本の日本語学校で働いた経験もある。
=======
Participant F028:
F028の個人的体験を以下に抽出しました:

1. スウェーデンに1年間留学した経験がある。

2. スウェーデン語を集中的に勉強し、1年で話せるようになった。

3. スウェーデンから帰国後、日本語を話すのが難しくなった。

4. アメリカにも留学経験がある。

5. アメリカでは日本語のTAとして働いていた。

6. スウェーデン留学中はホームステイをした。

7. 留学前は人見知りだったが、留学後はよく話すようになった。

8. アメリカのミネソタ州で子供向けの日本語キャンプのカウンセラーとして働いた経験がある。

9. キャンプでは7歳から高校生までの子供たちを指導した。

10. キャンプでは英語の使用を控え、なるべく日本語で話すようにしていた。

11. アメリカの大学で世話になった先生の子供たちにピアノを教えた経験がある。

12. 日本の日本語学校で働いた経験もある。
>>>>>>> gesture
