<<<<<<< HEAD
Participant F064:
F064の個人的体験を以下のように抽出しました：

1. 西日本に行ったことがない。

2. 神戸に友達がいるので、神戸に行きたいと思っている。

3. 関西圏に友達がいない。

4. 大学院に進学する友達が多かった。

5. 無職になっている友達も多い。

6. 高校時代、文化祭の模擬店で「トリカブト」という名前の焼き鳥屋が出ていた。

7. 母親から、まゆ毛が途中で切れているため事故に遭いやすいと言われ、どんなときでもまゆ毛を描くように言われた。

8. ニセコ旅行の際、まゆ毛を描く余裕がないほど忙しかった。

9. 占い師の前を通るときに緊張する。

10. 冬にスカートを履きたくなる。

11. 人生で最大のけがは、下半身の熱湯やけど。大きな包帯を巻いていた。

12. 大学時代、ブラスバンド部の顧問の先生が異動した際、定期演奏会に呼ばなかった。

13. 200点満点のテストで28点を取ったことがある。
=======
Participant F064:
F064の個人的体験を以下のように抽出しました：

1. 西日本に行ったことがない。

2. 神戸に友達がいるので、神戸に行きたいと思っている。

3. 関西圏に友達がいない。

4. 大学院に進学する友達が多かった。

5. 無職になっている友達も多い。

6. 高校時代、文化祭の模擬店で「トリカブト」という名前の焼き鳥屋が出ていた。

7. 母親から、まゆ毛が途中で切れているため事故に遭いやすいと言われ、どんなときでもまゆ毛を描くように言われた。

8. ニセコ旅行の際、まゆ毛を描く余裕がないほど忙しかった。

9. 占い師の前を通るときに緊張する。

10. 冬にスカートを履きたくなる。

11. 人生で最大のけがは、下半身の熱湯やけど。大きな包帯を巻いていた。

12. 大学時代、ブラスバンド部の顧問の先生が異動した際、定期演奏会に呼ばなかった。

13. 200点満点のテストで28点を取ったことがある。
>>>>>>> gesture
