<<<<<<< HEAD
Participant F024:
F024の個人的体験を以下に抽出しました：

1. 11月と12月にほとんど働かなかった。家庭教師は1軒だけ続けたが、日本語の授業はキャンセルした。

2. 12月に体調を崩して貧血になり、授業を休んだ。

3. 修論作成のため働かなかったので、お金がなくなってしまった。

4. 学部時代、卒業間近の2、3か月は仕送りがなく、奨学金と貯金を切り崩して生活した。

5. 卒業前に友達と旅行に行ったり、袴を借りたりしてお金を使った。

6. 袴のレンタルが予想以上に高くつき、6万円ほどかかった。

7. 卒業式の日、リムジンで送迎してもらった。

8. 成人式には振袖を着ていない。

9. 親知らずが1本しか生えていない。

10. 最近、家事を任されることが多く、5人分の料理を作るのが大変だと感じている。

11. 年末年始に家事を手伝わされて、父親とけんかをした。

12. 学部時代は4年間全て正月に実家に帰っていた。
=======
Participant F024:
F024の個人的体験を以下に抽出しました：

1. 11月と12月にほとんど働かなかった。家庭教師は1軒だけ続けたが、日本語の授業はキャンセルした。

2. 12月に体調を崩して貧血になり、授業を休んだ。

3. 修論作成のため働かなかったので、お金がなくなってしまった。

4. 学部時代、卒業間近の2、3か月は仕送りがなく、奨学金と貯金を切り崩して生活した。

5. 卒業前に友達と旅行に行ったり、袴を借りたりしてお金を使った。

6. 袴のレンタルが予想以上に高くつき、6万円ほどかかった。

7. 卒業式の日、リムジンで送迎してもらった。

8. 成人式には振袖を着ていない。

9. 親知らずが1本しか生えていない。

10. 最近、家事を任されることが多く、5人分の料理を作るのが大変だと感じている。

11. 年末年始に家事を手伝わされて、父親とけんかをした。

12. 学部時代は4年間全て正月に実家に帰っていた。
>>>>>>> gesture
